CourseLink,room_link
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A07&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E11
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A45&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ZEMS
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A45&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A45&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ZEMS
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A45&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A45&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A12&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H17
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A70&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A70&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A70&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A70&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ZEMS
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185249&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185249&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185249&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185249&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185249&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185249&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMN
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A01&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=INFH
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A04&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H15
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A79&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BA_PRAKT
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A79&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AUDI
